모범음식점 지정명단(반기보고),,,,,,,,,
,,,,,,,,,
연번,반기,시도,시군구,업태,주메뉴,업소명,주소,전화번호 ,비고
388,하반기,제주특별자치도,서귀포시,한식,"돼지갈비,돌솥밥정식",상호네숯불갈비,제주특별자치도 서귀포시 대정읍 하모이삼로 55,064 -794 -6242,
389,하반기,제주특별자치도,서귀포시,일식,"생선회,조림류",최남단식당,제주특별자치도 서귀포시 대정읍 최남단해안로 40,064 -794 -9191,
390,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,오르막가든,제주특별자치도 서귀포시 대포중앙로 12 (대포동),064 -738 -7755,
391,하반기,제주특별자치도,서귀포시,한식,"흑돼지구이, 김치찌개",목포고을본점,제주특별자치도 서귀포시 일주서로 968-5 (색달동),064 -738 -5551,
392,하반기,제주특별자치도,서귀포시,한식,"갈치조림, 전복뚝배기",예지원,제주특별자치도 서귀포시 천제연로 129 (중문동),064 -738 -9577,
393,하반기,제주특별자치도,서귀포시,일식,활어회,우사미,"제주특별자치도 서귀포시 대정읍 최남단해안로 51, 1층",064 -794 -9933,
394,하반기,제주특별자치도,서귀포시,한식,"흑돼지구이, 갈비탕",월드컵흑돼지,제주특별자치도 서귀포시 월드컵로 74 (법환동),064 -738 -3292,
395,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,도새기먹는날,제주특별자치도 서귀포시 서문로41번길 16 (서귀동),064 -733 -7587,
396,하반기,제주특별자치도,서귀포시,한식,소고기모둠구이,흑한우명품관,제주특별자치도 서귀포시 일주동로 8421 (토평동),064 -732 -1486,
397,하반기,제주특별자치도,서귀포시,일식,활어회,태흥횟집,제주특별자치도 서귀포시 남원읍 남태해안로 435,064 -764 -2896,
398,하반기,제주특별자치도,서귀포시,한식,해물전골,산방산초가집,제주특별자치도 서귀포시 안덕면 화순해안로 189,064 -792 -0688,
399,하반기,제주특별자치도,서귀포시,한식,전복코스요리,착한전복,제주특별자치도 서귀포시 천제연로 119 (색달동),064 -738 -8455,
400,하반기,제주특별자치도,서귀포시,한식,"동태탕, 코다리냉면",김영희동태탕&코다리냉면서귀포점,제주특별자치도 서귀포시 부두로 49 (서귀동),064 -733 -4888,
401,하반기,제주특별자치도,서귀포시,한식,갈치요리,네거리식당,제주특별자치도 서귀포시 서문로29번길 20 (서귀동),064 -762 -5513,
402,하반기,제주특별자치도,서귀포시,한식,해장국,미향해장국 중문점,제주특별자치도 서귀포시 일주서로 962 (색달동),064 -739 -8868,
403,하반기,제주특별자치도,서귀포시,한식,"고기국수, 비빔국수",앙끄레국수,제주특별자치도 서귀포시 법환상로2번길 97-18 (법환동),064 -739 -2999,
404,하반기,제주특별자치도,서귀포시,한식,활어회,만복해물탕,제주특별자치도 서귀포시 안덕면 산방로 53 (2층),064 -794 -0015,
405,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,육값하네식육가든,제주특별자치도 서귀포시 남원읍 남조로 141,064 -764 -5053,
406,하반기,제주특별자치도,서귀포시,일식,활어회,선영횟집,"제주특별자치도 서귀포시 칠십리로 61-1, 1.5층 (서귀동)",064 -762 -4666,
407,하반기,제주특별자치도,서귀포시,한식,"흑돼지불고기, 지슬국수",괸당네식당,제주특별자치도 서귀포시 성산읍 독자봉로 2,064 -787 -1055,
408,하반기,제주특별자치도,서귀포시,한식,오리모듬세트. 생주물럭,금상첨화,제주특별자치도 서귀포시 동홍서로112번길 4-16 (동홍동),064 -762 -5292,
409,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,만복흑돼지,제주특별자치도 서귀포시 안덕면 산방로 53,064 -792 -0095,
410,하반기,제주특별자치도,서귀포시,중식,중화요리,서귀포차이나타운,제주특별자치도 서귀포시 동홍로 332 (토평동),064 -733 -2111,
411,하반기,제주특별자치도,서귀포시,일식,활어회,성산어멍횟집,제주특별자치도 서귀포시 성산읍 동류암로39번길 9-2,064 -783 -1177,
412,하반기,제주특별자치도,서귀포시,한식,해장국,미향해장국효돈점,제주특별자치도 서귀포시 효돈로 11 (신효동),064 -767 -6767,
413,하반기,제주특별자치도,서귀포시,한식,정식,만조이천쌀밥,제주특별자치도 서귀포시 성산읍 성산중앙로 5,064 -784 -9794,
414,하반기,제주특별자치도,서귀포시,한식,고등어조림,제주해룡,제주특별자치도 서귀포시 성산읍 서성일로 753,064 -784 -8849,
415,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,해뜸,제주특별자치도 서귀포시 표선면 민속해안로 584,064 -787 -7170,
416,하반기,제주특별자치도,서귀포시,한식,해장국,다올터,제주특별자치도 서귀포시 동문동로 6 (서귀동),064 -732 -6161,
417,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,섭지골,제주특별자치도 서귀포시 성산읍 신양로 107,064 - 784-0014,
418,하반기,제주특별자치도,서귀포시,한식,통갈치요리,해마루,제주특별자치도 서귀포시 성산읍 일출로 84,064 -782 -1150,
419,하반기,제주특별자치도,서귀포시,한식,갈치조림,제주고가네,제주특별자치도 서귀포시 성산읍 성산중앙로19번길 14,064 -784 -5559,
420,하반기,제주특별자치도,서귀포시,한식,해물뚝배기,성산포 황금어장,제주특별자치도 서귀포시 성산읍 성산리 135 - 2 외 1필지 ,064 -783 -6684,
421,하반기,제주특별자치도,서귀포시,한식,뚝배기,아침바다,제주특별자치도 서귀포시 성산읍 일출로 253,064 -782 -7501,
422,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,해월향,제주특별자치도 서귀포시 성산읍 고성오조로 33,064 -784 -4080,
423,하반기,제주특별자치도,서귀포시,한식,"옹심이손칼국수, 파전",황토기와집,제주특별자치도 서귀포시 일주서로 1102 (상예동),064 -739 -0575,
424,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,서귀포흑돈,제주특별자치도 서귀포시 칠십리로 278 (토평동),064 -767 -9718,
425,하반기,제주특별자치도,서귀포시,일식,활어회,나그네쉼터어시장수산식당,제주특별자치도 서귀포시 남원읍 태위로 48,064 -764 -1821,
426,하반기,제주특별자치도,서귀포시,한식,통갈치구이,춘심이네,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16, 064- 794-4010,
427,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,돈코복코,제주특별자치도 서귀포시 성산읍 일주동로 3968,064 -784 -6640,
428,하반기,제주특별자치도,서귀포시,일식,"물회, 회정식",서귀포바당물회,"제주특별자치도 서귀포시 태평로512번길 1-4, 1층 (동홍동)",064 -762 -8998,
429,하반기,제주특별자치도,서귀포시,한식,"항정살, 삼겹살구이",서귀포왕돌판구이,"제주특별자치도 서귀포시 태평로512번길 1-4, 1층 (동홍동)",064 -733 -1777,
430,하반기,제주특별자치도,서귀포시,한식,한정식,옛날옛적,제주특별자치도 서귀포시 성산읍 일주동로 4660,064 -784 -2252,
431,하반기,제주특별자치도,서귀포시,한식,돼지불고기,팔도강산성읍1리복지타운,"제주특별자치도 서귀포시 표선면 서성일로 74, 1층",064 -787 -1088,
432,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,까망돼지서귀포점,"제주특별자치도 서귀포시 일주동로 8524, 1층 (토평동)",064 -732 -6542,
433,하반기,제주특별자치도,서귀포시,한식,돼지주물럭,임숙현돼지주물럭,제주특별자치도 서귀포시 표선면 표선동서로 70,064 -787 -9155,
434,하반기,제주특별자치도,서귀포시,한식,갈치조림,모다정,"제주특별자치도 서귀포시 성산읍 성산중앙로37번길 9, 1층",064 -782 -1805,
435,하반기,제주특별자치도,서귀포시,한식,"해물전골, 흑돼지구이",강정장원식당,제주특별자치도 서귀포시 강정동 2787 - 5 1층 ,064 -739 -9828,
436,하반기,제주특별자치도,서귀포시,한식,정식,오름에바당,"제주특별자치도 서귀포시 성산읍 한도로 90, 1층",064 -783 -7657,
437,하반기,제주특별자치도,서귀포시,한식,선지해장국,미향해장국성산점,"제주특별자치도 서귀포시 성산읍 일출로 9, 1층",064 -784 -9994,
438,하반기,제주특별자치도,서귀포시,한식,갈치조림,신옛촌,"제주특별자치도 서귀포시 안덕면 사계로 187-6, 1층",064 -794 -1688,
439,하반기,제주특별자치도,서귀포시,한식,"흑돼지구이, 갈비탕",삼미흑돼지,"제주특별자치도 서귀포시 색달중앙로 33, 1층 (색달동)",064 -739 -9392,
440,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,"한가네흑돼지,해물전골전문",제주특별자치도 서귀포시 서호호근로 42 (서호동),064 -733 -1188,
441,하반기,제주특별자치도,서귀포시,중식,"짜장면, 짬뽕",만사성,"제주특별자치도 서귀포시 소암로 37, 1층 (서귀동)",064 -762 -3636,
442,하반기,제주특별자치도,서귀포시,한식,정식,은빌레식당,제주특별자치도 서귀포시 남원읍 한신로 247-3,064 -764 -2221,
443,하반기,제주특별자치도,서귀포시,한식,"대개, 킹크랩",대게나라,"제주특별자치도 서귀포시 신서귀로76번길 2, 지하1층 (서호동)",064 -739 -2797,
444,하반기,제주특별자치도,서귀포시,한식,"장어구이, 장어덮밥",풍천연가풍천장어참숯구이,"제주특별자치도 서귀포시 중앙로 104, 3동 (동홍동)",064 -733 -5222,
445,하반기,제주특별자치도,서귀포시,한식,삼계탕,고금삼계탕,제주특별자치도 서귀포시 표선면 번영로3428번길 7,064 -787 -6674,
446,하반기,제주특별자치도,서귀포시,한식,활어회,남원골포구랑,"제주특별자치도 서귀포시 남원읍 남원회관로 46, 1층",064 -764 -5954,
447,하반기,제주특별자치도,서귀포시,한식,돼지국밥,꽃가람,"제주특별자치도 서귀포시 성산읍 고성동서로 73, 1층",064 -783 -3939,
448,하반기,제주특별자치도,서귀포시,일식,"활어회, 매운탕",다금바리횟집,"제주특별자치도 서귀포시 대청로 37, 2층 (강정동)",064 -739 -1900,
449,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,흑돗,"제주특별자치도 서귀포시 성산읍 신양로 69, 2층",064 -782 -9275,
450,하반기,제주특별자치도,서귀포시,한식,"복요리, 시래기갈치고등어조림",성산미소복집,"제주특별자치도 서귀포시 성산읍 서성일로 872-6, 1층 102호",064 -782 -5448,
451,하반기,제주특별자치도,서귀포시,한식,"브런치, 흑돼지스테이크",브런치더썸,제주특별자치도 서귀포시 일주동로 8921 (호근동),064 -738 -7100,
452,하반기,제주특별자치도,서귀포시,한식,정식,티라한식당,"제주특별자치도 서귀포시 성산읍 섭지코지로25번길 41, 1층",064 -786 -5382,
453,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,멋진녀석들,제주특별자치도 서귀포시 표선면 민속해안로 570,064 -787 -7557,
454,하반기,제주특별자치도,서귀포시,일식,활어회,백록,"제주특별자치도 서귀포시 성산읍 섭지코지로25번길 12, 5동 1층",064 -782 -8002,
455,하반기,제주특별자치도,서귀포시,한식,바지락칼국수,일산바지락손칼국수,제주특별자치도 서귀포시 성산읍 일주동로 5595,064 -787 -7764,
456,하반기,제주특별자치도,서귀포시,경양식,돈까스,분식인,"제주특별자치도 서귀포시 중앙로117번길 3, 1층 (서홍동)",064 -787 -7277,
457,하반기,제주특별자치도,서귀포시,한식,"흑돼지구이, 양념갈비",늘품흑돼지,"제주특별자치도 서귀포시 이어도로 1048, 1층 (서호동)",064 -739 -4994,
458,하반기,제주특별자치도,서귀포시,일식,활어회,스시향,"제주특별자치도 서귀포시 대정읍 대한로 33, 1층",064 -794 -7973,
459,하반기,제주특별자치도,서귀포시,일식,"활어회, 매운탕",신관식당,"제주특별자치도 서귀포시 태평로439번길 42, 1층 (서귀동)",064 -763 -0479,
460,하반기,제주특별자치도,서귀포시,한식,돼지고기정식,셰프와흑돼지,제주특별자치도 서귀포시 안덕면 한창로110번길 62,064 -794 -7947,
461,하반기,제주특별자치도,서귀포시,한식,고등어조림,해왓,제주특별자치도 서귀포시 성산읍 신고로 30-1,064 -782 -5689,
462,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,청솔나무집,제주특별자치도 서귀포시 성산읍 성산중앙로 25,064 -783 -5070,
463,하반기,제주특별자치도,서귀포시,경양식,"파스타, 필라프",라라코스트서귀포점,"제주특별자치도 서귀포시 일주동로 8670, 2층 (동홍동)",064 -733 -3321,
464,하반기,제주특별자치도,서귀포시,일식,활어회,표선일번회센타,제주특별자치도 서귀포시 표선면 표선중앙로 103,064 -787 -7277,
465,하반기,제주특별자치도,서귀포시,한식,"콩나물국밥, 황태콩나물국밥",24시전주명가콩나물국밥,"제주특별자치도 서귀포시 중정로62번길 4, 1층 (서귀동)",064 -762 -0650,
466,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,서귀포걸메도야지,"제주특별자치도 서귀포시 일주동로 8733, 2층 (서귀동)",064 -762 -8534,
